Time (s);Horizontal Wave Bending Moment (N.m);Vertical Wave Bending Moment (N.m);Torsional Wave Bending Moment  (N.m)
4.5;-35902.70703125;2519429;2046.13134765625
4.6;-33557.97265625;2424994;2148.31591796875
4.7;-30964.08203125;2286654;2013.5302734375
4.8;-28144.3203125;2121205.5;1658.2275390625
4.9;-25137.998046875;1945928.25;1133.654296875
5;-21991.330078125;1775559.75;521.264892578125
5.1;-18756.478515625;1619763.75;-78.9581298828125
5.2;-15446.82421875;1481200.25;-564.088439941406
5.3;-12102.330078125;1355192;-846.1767578125
5.4;-8722.970703125;1230493.75;-868.338256835938
5.5;-5316.0009765625;1091545.5;-616.01708984375
5.6;-1884.19348144531;921558.125;-121.441497802734
5.7;1567.99658203125;705973.125;540.280639648438
5.8;5040.4501953125;435650.625;1262.61608886719
5.9;8522.486328125;109136.96875;1925.09252929688
6;11993.58984375;-266475.96875;2413.7685546875
6.1;15419.65625;-676032.5;2639.62109375
6.2;18761.40625;-1098402;2555.7607421875
6.3;21972.8671875;-1509501.5;2163.77783203125
6.4;25002.56640625;-1885869;1514.58178710938
6.5;27808.7578125;-2208087;698.984252929688
6.6;30349.8046875;-2463406;-167.2373046875
6.7;32588.86328125;-2647153.5;-962.83740234375
6.8;34535.90625;-2762753;-1580.4755859375
6.9;36164;-2820296.5;-1943.9443359375
7;37501.7265625;-2834076.5;-2018.21484375
7.1;38565.87109375;-2819652.5;-1813.115234375
7.2;39337.6875;-2790445;-1378.896484375
7.3;39801.609375;-2755852;-795.2265625
7.4;40024.1640625;-2719784;-154.83837890625
7.5;40037.671875;-2680212;451.007080078125
7.6;39755.33203125;-2630331;946.368041992188
7.7;39228.7265625;-2560317;1281.86511230469
7.8;38440.30078125;-2459730;1437.04675292969
7.9;37379.578125;-2319655;1418.71118164063
