Nama Bagian;n;b;h;a;Z;mapped_index;Structure element;μ (a) [mm/years];CoV (a);index;b_t0;h_t0;b_t10;h_t10;b_t20;h_t20;b_t30;h_t30
Long Stiff CL 9 Web;2;15.0;0.9;0;549.55;SLW;Sekat Long Web;0.0716;0.8902;SLW;15.0;0.9;14.9284;0.8284;14.8568;0.7568;14.7852;0.6852
Long Stiff CL 9 Frame;2;0.9;8.1;0;545.05;SLF;Sekat Long flange;0.0588;1.003;SLF;0.9;8.1;0.8412000000000001;8.0412;0.7824;7.982399999999999;0.7236;7.9235999999999995
SEKAT MEMANJANG CL Web;1;1.0;550.0;0;303.1;SLW;Sekat Long Web;0.0716;0.8902;SLW;1.0;550.0;0.9284;549.9284;0.8568;549.8568;0.7852;549.7852
SEKAT MEMANJANG CL Frame;1;12.5;550.0;0;303.1;SLF;Sekat Long flange;0.0588;1.003;SLF;12.5;550.0;12.4412;549.9412;12.3824;549.8824;12.3236;549.8236
Pelat Sisi;0;1.2;549.563;0;334.6285;OPB;Outer bottom plate;0.0597;0.9901;OPB;1.2;549.563;1.1402999999999999;549.5033;1.0806;549.4436;1.0209;549.3839
Pelat Bottom 1;0;271.93;1.4;0;0.7;OPB;Outer bottom plate;0.0597;0.9901;OPB;271.93;1.4;271.8703;1.3402999999999998;271.8106;1.2806;271.7509;1.2208999999999999
Pelat Bottom 2;0;385.883;1.4;0;0.7;OPB;Outer bottom plate;0.0597;0.9901;OPB;385.883;1.4;385.82329999999996;1.3402999999999998;385.7636;1.2806;385.7039;1.2208999999999999
Pelat Bottom 3;0;304.374;1.4;0;0.7;OPB;Outer bottom plate;0.0597;0.9901;OPB;304.374;1.4;304.3143;1.3402999999999998;304.25460000000004;1.2806;304.1949;1.2208999999999999
Pelat Bottom 4;0;349.717;1.4;0;0.7;OPB;Outer bottom plate;0.0597;0.9901;OPB;349.717;1.4;349.65729999999996;1.3402999999999998;349.5976;1.2806;349.5379;1.2208999999999999
Pelat Deck;2;1373.089;0.8;0;610.0;DP;Deck plate;0.0581;0.8262;DP;1373.089;0.8;1373.0309;0.7419;1372.9728;0.6838000000000001;1372.9147;0.6257
Hopper Dalam;2;12.0;95.1;128;85.47;IPB;Inner bottom plate;0.1012;0.7994;IPB;12.0;95.1;11.8988;94.99879999999999;11.7976;94.8976;11.6964;94.79639999999999
Chine Luar;2;12.0;85.6;136;29.923;OPB;Outer bottom plate;0.0597;0.9901;OPB;12.0;85.6;11.9403;85.54029999999999;11.8806;85.4806;11.8209;85.42089999999999
Pembujur Web;2;15.0;0.9;46;34.116;SBW;Outer bottom stiffener's web;0.1367;0.7802;SBW;15.0;0.9;14.8633;0.7633000000000001;14.7266;0.6266;14.5899;0.48990000000000006
Pembujur Frame;2;0.9;8.1;136;36.315;SBF;Outer bottom stiffener's flange;0.1127;1.0121;SBF;0.9;8.1;0.7873;7.987299999999999;0.6746000000000001;7.8746;0.5619000000000001;7.7619
