Time (s);Momen Horizontal (N.m);Momen Vertikal (N.m);Momen Torsional (N.m)
0.0;6065.3134765625;-52374488;9438.0380859375
0.5;3761.1337890625;-39174424;9802.8798828125
1;-175.548004150391;-13453302;8167.96826171875
1.5;-3594.0625;15649508;-1540.5556640625
2;-5429.48583984375;39611168;-14200.49609375
2.5;-5431.578125;52348440;-19727.435546875
3;-3472.70483398438;51640832;-15067.505859375
3.5;89.905029296875;38855912;-5578.23486328125
4;4154.376953125;17817260;1655.07946777344
4.5;7238.24951171875;-6470805;4735.607421875
5;8262.7431640625;-28818504;6949.89306640625
5.5;7008.98291015625;-44909144;10451.55859375
6;3873.12939453125;-52287720;13451.556640625
6.5;-606.195068359375;-50503072;13211.755859375
7;-5533.43603515625;-40605136;8146.0751953125
7.5;-9551.2890625;-24803648;-910.43994140625
8;-11527.5712890625;-6221604;-9238.22265625
8.5;-11178.80078125;11652572;-12078.271484375
9;-8580.205078125;25646312;-10620.6875
9.5;-3788.50024414063;33485616;-9619.7783203125
10;2554.296875;34200176;-9893.5390625
10.5;8831.509765625;28204624;-7480.28857421875
11;13210.0791015625;17166576;147.234130859375
11.5;14790.7939453125;3837963;9499.892578125
12;13641.970703125;-8458420;13837.470703125
12.5;10134.060546875;-16803184;10704.5146484375
13;4696.99658203125;-19449308;4590.40625
13.5;-1778.35583496094;-16014260;678.530151367188
14;-7841.8408203125;-7506474;-899.042114257813
14.5;-12116.328125;3731599;-2802.42749023438
15;-13874.423828125;14592374;-5820.93798828125
15.5;-13043.4033203125;22179340;-8145.19384765625
16;-9997.3076171875;24598224;-7422.07421875
16.5;-5486.01123046875;21337728;-3139.474609375
17;-466.8759765625;13329524;2421.46948242188
17.5;4095.41455078125;2687117;6187.85546875
18;7479.6337890625;-7877486;7070.076171875
18.5;9304.064453125;-15829538;6084.36083984375
19;9475.240234375;-19567280;4549.11181640625
19.5;8150.4775390625;-18851508;2869.11840820313
20;5760.45703125;-14708050;615.238525390625
20.5;2885.0751953125;-8948511;-2364.1904296875
21;0.611495971679688;-3576812.75;-4956.91015625
21.5;-2606.173828125;-191828.25;-5566.4228515625
22;-4735.22314453125;500822.5;-3930.93286132813
22.5;-6165.8583984375;-1159487.875;-1446.80395507813
23;-6718.46435546875;-4053486.5;375.882202148438
23.5;-6359.80078125;-6778217;1155.95910644531
24;-5188.431640625;-8145118;1320.44506835938
24.5;-3368.1513671875;-7548150;1214.96166992188
25;-1109.06298828125;-5101504;886.11767578125
25.5;1282.1201171875;-1497615.5;386.379638671875
26;3430.041015625;2339529.25;-62.438232421875
26.5;4984.51708984375;5645197;-217.857421875
27;5718.36767578125;8098104;-102.479736328125
27.5;5577.89990234375;9883336;-65.048583984375
28;4687.7373046875;11506764;-418.783813476563
28.5;3319.83056640625;13461254;-1157.013671875
29;1817.7646484375;15891808;-2088.52978515625
29.5;499.759521484375;18385708;-2924.61206054688
30;-447.194885253906;19989900;-3231.11450195313
30.5;-1001.95782470703;19496368;-2649.2939453125
31;-1315.00170898438;15890156;-1112.07312011719
31.5;-1622.46472167969;8789942;1201.58837890625
32;-2160.32177734375;-1261477;3833.861328125
32.5;-3041.623046875;-12777554;6038.9677734375
33;-4189.8359375;-23634528;7133.87255859375
33.5;-5345.4658203125;-31609068;6763.95361328125
34;-6108.6962890625;-34968616;4874.89208984375
34.5;-6078.03466796875;-32957456;1809.85595703125
35;-4978.06689453125;-26022836;-1654.39331054688
35.5;-2764.23291015625;-15678828;-4662.17138671875
36;342.317565917969;-4067038.5;-6577.93017578125
36.5;3876.94506835938;6621173;-7029.0947265625
37;7213.345703125;14701208;-6035.2333984375
37.5;9713.6845703125;19367912;-4078.46508789063
38;10882.16015625;20750980;-1846.33935546875
38.5;10462.7265625;19663128;54.73681640625
39;8501.1484375;17177306;1225.12866210938
39.5;5322.861328125;14184146;1578.85888671875
40;1428.26867675781;11083218;1364.46459960938
40.5;-2613.82983398438;7734228;1003.4091796875
41;-6277.5400390625;3673249.5;894.704895019531
41.5;-9153.150390625;-1515405.5;1269.83740234375
42;-10972.880859375;-7823650;2089.5166015625
42.5;-11602.8515625;-14594552;3041.18896484375
43;-11013.349609375;-20562440;3658.7216796875
43.5;-9242.4052734375;-24170372;3503.0595703125
44;-6390.17724609375;-24053844;2354.16259765625
44.5;-2647.28369140625;-19536556;340.597778320313
45;1678.02746582031;-10960054;-2082.9658203125
45.5;6158.23876953125;286740;-4308.01953125
46;10250.5087890625;12069580;-5781.150390625
46.5;13357.380859375;22038912;-6143.466796875
47;14928.1630859375;28239424;-5308.953125
47.5;14556.478515625;29619268;-3508.17724609375
48;12132.16796875;26253788;-1223.93212890625
48.5;7873.9228515625;19240832;986.673950195313
49;2331.72631835938;10310428;2671.60375976563
49.5;-3695.63232421875;1292443;3587.43994140625
50;-9308.4619140625;-6378457;3724.54809570313
50.5;-13665.03125;-11962396;3278.72241210938
51;-16153.513671875;-15439418;2591.212890625
51.5;-16491.8125;-17280574;2012.95581054688
52;-14730.84375;-18076882;1704.7275390625
52.5;-11198.0146484375;-18185904;1569.6064453125
53;-6424.74755859375;-17541656;1382.44665527344
53.5;-1045.60705566406;-15701474;907.283508300781
54;4332.314453125;-12109596;-59.3405151367188
54.5;9176.1259765625;-6466901;-1571.15002441406
55;13048.02734375;949394.25;-3398.55615234375
55.5;15576.8193359375;9163194;-5050.64453125
56;16480;16648818;-5973.62109375
56.5;15577.4033203125;21725812;-5793.65869140625
57;12827.92578125;23076048;-4441.7724609375
57.5;8346.89453125;20202340;-2121.935546875
58;2497.36840820313;13664232;709.13671875
58.5;-4081.6396484375;4989113;3352.771484375
59;-10518.49609375;-3730603;5081.33984375
59.5;-15839.7451171875;-10433922;5456.43359375
60;-19146.79296875;-13689660;4454.32958984375
60.5;-19778.1796875;-13102580;2426.55249023438
61;-17484.453125;-9393716;25.5560302734375
61.5;-12511.033203125;-4129754;-1979.99914550781
62;-5593.82470703125;805232;-2991.52197265625
62.5;2182.03125;3819471;-2796.35107421875
63;9581.744140625;4100572;-1625.87951660156
63.5;15455.453125;1824446;-29.9067230224609
64;18911.97265625;-1974732;1385.03454589844
64.5;19505.33984375;-5813229;2168.59008789063
65;17264.041015625;-8293456;2110.44506835938
65.5;12660.6435546875;-8577124;1285.34558105469
66;6465.353515625;-6633805;36.5564270019531
66.5;-388.14306640625;-3187442.5;-1164.80859375
67;-6959.6904296875;603096.375;-1900.4873046875
67.5;-12418.3359375;3603739.5;-1932.6376953125
68;-16121.47265625;5128488.5;-1292.3701171875
68.5;-17660.51953125;5172144;-284.674926757813
69;-16874.65625;4370054;641.345031738281
69.5;-13845.7919921875;3709158.5;1093.19775390625
70;-8905.966796875;4101121;888.249694824219
70.5;-2620.60913085938;5985089;118.484527587891
71;4228.40966796875;9109293;-889.615478515625
71.5;10716.9375;12575616;-1715.63525390625
72;15904.107421875;15132002;-2020.35339355469
72.5;18952.8515625;15609184;-1646.08154296875
73;19291.740234375;13339116;-654.349426269531
73.5;16748.81640625;8405518;658.863037109375
74;11619.458984375;1632942.5;1843.93493652344
74.5;4646.3125;-5679519.5;2510.55053710938
75;-3101.45068359375;-12184490;2495.88745117188
75.5;-10423.318359375;-16913304;1865.40747070313
76;-16201.248046875;-19551896;860.7822265625
76.5;-19599.216796875;-20457384;-141.758056640625
77;-20219.5390625;-20416476;-734.776611328125
77.5;-18126.58984375;-20235560;-648.195983886719
78;-13795.39453125;-20321668;82.7735595703125
78.5;-7969.14892578125;-20424400;1061.32983398438
79;-1495.45263671875;-19650524;1699.2822265625
79.5;4824.25439453125;-16769576;1515.90014648438
80;10343.76953125;-10709948;320.2373046875
80.5;14611.7890625;-1079047;-1762.56762695313
81;17360.322265625;11491048;-4309.65478515625
81.5;18452.587890625;25311432;-6678.60009765625
82;17838.9609375;37956760;-8176.8798828125
82.5;15545.93359375;46856960;-8252.68359375
83;11665.3046875;49982464;-6671.83984375
83.5;6396.1396484375;46409936;-3643.0859375
84;118.2177734375;36590840;219.683959960938
84.5;-6588.78955078125;22243416;4097.853515625
85;-12948.6416015625;5901920;7198.0068359375
85.5;-18110.384765625;-9726916;8927.498046875
86;-21278.6484375;-22406724;9012.18359375
86.5;-21884.06640625;-30819804;7552.73974609375
87;-19715.208984375;-34709344;5018.65771484375
87.5;-14986.6708984375;-34705272;2137.00439453125
88;-8307.3759765625;-31927024;-378.43798828125
88.5;-579.93994140625;-27523852;-2129.15966796875
89;7149.92138671875;-22320092;-3122.2890625
89.5;13884.162109375;-16676472;-3601.4794921875
90;18785.2265625;-10595060;-3826.7958984375
90.5;21303.03515625;-3992012;-3973.5634765625
91;21216.60546875;2996457;-4109.814453125
91.5;18620.66796875;9824138;-4165.9677734375
92;13872.603515625;15556686;-3926.54760742188
92.5;7512.9169921875;19117928;-3118.6767578125
93;226.109130859375;19674548;-1591.01953125
93.5;-7196.05078125;17011420;522.08984375
94;-13919.888671875;11741586;2771.1689453125
94.5;-19105.953125;5246038;4538.54736328125
95;-21992.73046875;-664829.5;5276.0380859375
95.5;-22029.017578125;-4270867;4712.25390625
96;-18987.625;-4479695;2968.62182617188
96.5;-13067.572265625;-1195027;539.294921875
97;-4942.884765625;4611400;-1867.69470214844
97.5;4293.1630859375;11162972;-3558.2451171875
98;13266.826171875;16395996;-4068.59741210938
98.5;20542.91796875;18568848;-3307.86474609375
99;24871.58203125;16769112;-1570.69763183594
99.5;25462.779296875;11157368;582.23388671875
100;22119.13671875;2876462;2515.65844726563
100.5;15319.802734375;-6329985;3721.353515625
101;6116.8193359375;-14657720;3958.078125
101.5;-4052.6923828125;-20750760;3274.57177734375
102;-13630.1826171875;-24017596;1949.26318359375
102.5;-21219.005859375;-24657264;403.3671875
103;-25772.47265625;-23410736;-919.351684570313
103.5;-26749.77734375;-21147996;-1697.130859375
104;-24135.0859375;-18457660;-1841.05004882813
104.5;-18388.64453125;-15403336;-1535.61608886719
105;-10316.0673828125;-11540172;-1175.77990722656
105.5;-956.301147460938;-6187053;-1178.70336914063
106;8573.7109375;1150689.75;-1771.66748046875
106.5;17172.7421875;10380320;-2879.67626953125
107;23848.5859375;20607584;-4154.93310546875
107.5;27791.064453125;30213872;-5125.431640625
