Time (s);Momen Horizontal (N.m);Momen Vertikal (N.m);Momen Torsional (N.m)
0.0;-192750.796875;-842678.5;11822850
0.5;256618.4375;-1857602;3885858.5
1;765507.0625;-99190.03125;-5277387.5
1.5;-631844.5;2398903.5;-5786124.5
2;-549226.75;3781508;-8427062
2.5;-191461.875;1952946;-575322.8125
3;217199.59375;-1676196;7768791
3.5;239792.75;-4242957;9698493
4;755233.75;-3717796;2985867.25
4.5;909607.25;-880223.5;-4943450.5
5;997533;2377914.5;-10737947
5.5;-543152.625;3247594.5;-2741636.75
6;-1085959.75;2286767.5;67877.3828125
6.5;-2055997.875;355885.3125;5759989.5
7;-1645778.25;-1256681.5;3985071.25
7.5;540111.875;-2215806.5;-2159923
8;1836953.875;-2551717.5;-2394288.25
8.5;-11543.8125;-1868687.5;7603526
9;-944999.75;993785;2251447.5
9.5;305141.75;4456869;-11140785
10;922564.5625;4780756;-11819908
10.5;368649.0625;1044029;-81351.140625
11;-1262407.25;-4309654;15095196
11.5;-983068.3125;-6262973;12459560
12;327100.8125;-3250250.5;1594876.625
12.5;2469075;2287718.5;-13251858
13;3208510;5498199;-15620785
13.5;905373.25;3964976;-1872025.5
14;-2940149;-265527.5625;15755580
14.5;-3463980.5;-3030246;11446156
15;-203360.828125;-2464128.5;-6651720.5
15.5;1328333.75;-654302.875;-9698332
16;1113204.75;703843.625;-4010482
16.5;-558438;329083.96875;8120097.5
17;-762801.625;-281539.75;6673189
17.5;670939.25;278707.875;-4153572.75
18;1439163;1154638.75;-8355854.5
18.5;-128965.4375;887157.5;607515.9375
19;-1600064.25;32790.671875;4008466.25
19.5;-794828.8125;-299527.28125;-1663394
20;-172154.6875;-831056.375;668698.625
20.5;462181.46875;-1105641;1327670.375
21;210341.8125;-734109;2490019.5
21.5;-554685.6875;186696.09375;1702090.375
22;-254618.75;1218820.5;-4178116
22.5;80873.375;1330204.25;-5563542
23;272642.21875;678616.5;-3246729.75
23.5;60008.046875;-239903.625;3263182
24;-182957.609375;-1131904.5;7761123
24.5;398883.5625;-1524143;3962195.25
25;850739.6875;-1250566.25;-1142304.875
25.5;1376040;59229.5625;-6874799
26;1215211.25;1661677.25;-5658288.5
26.5;-78434.3125;2163457;1557512
27;-713451.375;1395501.5;2759801
27.5;-1322352.375;-478310.25;4258434
28;-1593363.875;-2155385.5;2748576.5
28.5;-750874.6875;-2104611.25;-3398658
29;-340223.1875;-681232;-3006000.25
29.5;204068.34375;1192695.5;-1768059
30;1008587;2139235.25;-914484.375
30.5;935947.1875;1059746.25;2744662.5
31;186252.4375;-1157961.5;4967832.5
31.5;-743118.5625;-2387239.5;3582580.75
32;-553231.5;-870597.375;-4484570.5
32.5;327652.40625;2207962;-8936737
33;662460.6875;3416142.5;-3143084.5
33.5;1154329.25;1231691.5;2114455.75
34;499823.84375;-2853573;9166681
34.5;-1239698.5;-4993746;12072567
35;-894161.4375;-2295467;-1938398.375
35.5;634312.625;2765877;-14825619
36;1000415.875;5273945;-11806080
36.5;299283.0625;3280912.5;127341
37;-1055541.5;-1271508.75;11910167
37.5;-2004307.75;-4443519;13584866
38;-1857018.625;-3841716;5025257.5
38.5;-58127.5703125;-217345.546875;-9483969
39;2925673;3437744.5;-19841982
39.5;3251274;3617355.5;-7136559.5
40;270685.28125;272145.90625;15626162
40.5;-2002927;-2893318.5;19274524
41;-1753713.75;-2991362;3574791.25
41.5;335029.28125;-13262.71875;-16094253
42;1486656.625;3159203;-18211838
42.5;227548.125;3262582;-269078.9375
43;-405561.375;274031.25;11617641
43.5;174058.5625;-3387661.5;11555448
44;-210418.875;-4745467;8011835
44.5;-856221.6875;-1928740;-1872705.375
45;-556595;3165401.5;-13400545
45.5;348669.3125;6087745;-16196413
46;429783.6875;4069536;-4969133.5
46.5;-1249525.875;-1395770;14506628
47;-2261123.5;-5520310;20696452
47.5;-364897.65625;-5000582;6096288
48;2610223;-1125530;-11674716
48.5;4047208.5;2584253;-18009578
49;2414784.75;3612993;-7380799.5
49.5;-1613158.125;2034273.5;11996052
50;-3848733.5;241142.1875;15459095
50.5;-1970836.5;-171594.921875;-1278843.75
51;808201.875;-263751.6875;-12663970
51.5;1523877.625;-1212321.5;-6980980.5
52;817694.75;-2310558.5;3783189.25
52.5;-225923;-2387834.5;10581644
53;-1007002.75;-1110368.5;9888026
53.5;-941311.5625;1138853;218650.578125
54;-509038.5625;3417688;-11273070
54.5;-662461.5;4521427;-14292703
55;-1162426.25;3464704.5;-6594347.5
55.5;-904267.0625;-33311.96875;5946726.5
56;579656.8125;-4736046;14608530
56.5;2623926.5;-7622820;12853378
57;3571804;-5999426;3918426.25
57.5;2417027;-189018.375;-4618298.5
58;527276.625;6382256;-11916779
58.5;-289570.8125;9434160;-16704424
59;-538287.125;6651191;-10203421
59.5;-1436420;-329944.96875;8020996
60;-2152049;-6822865;21194160
60.5;-1812063.5;-8985956;18657572
61;-1001630.875;-6193971;4887362
61.5;-41472.84375;-209296.5;-12576526
62;706879.75;5924125;-23010606
62.5;272762.375;8886500;-16346481
63;-1337504.875;6864860;3031198
63.5;-2400857.5;930006.625;17520316
64;-1654615.625;-5536023;16904306
64.5;200472.6875;-8888082;6723746
65;1936502.5;-7225191;-4116533.25
65.5;3022507.5;-1515437.5;-11042313
66;3266043.75;4831315;-11592047
66.5;2517880;8051193;-5221178
67;1062499.625;6487240;3800032
67.5;-304507.3125;1590940.25;8347212
68;-1068755.5;-3399741;6112600.5
68.5;-1403288;-5840332;1533145.25
69;-1432562.75;-5057320;-1522849.5
69.5;-977113.375;-2108211.5;-3149172.5
70;-354984.96875;1222199;-3151731.75
70.5;-351782.03125;3449646;-571161.5625
71;-1025467.125;3961076;2202379
71.5;-1464198.5;2889783.5;1249680.25
72;-1102718.75;703738.75;-2144682.5
72.5;-481023.53125;-1858303.5;-2182235
73;-226432.625;-3610631.5;2535795.5
73.5;-12070.5625;-3369337;5977377
74;814989.9375;-1041768;2966992
74.5;2066547;1896164.5;-3699535.5
75;2796977.75;3403543;-6946670
75.5;2410067;2503219;-3901630.25
76;1285778.125;61288.84375;1641840.75
76.5;192740.375;-2071926;4779997
77;-577856;-2596480.5;4603407
77.5;-1177754.75;-1525723.5;2702174
78;-1605465.5;233358.09375;-327820.15625
78.5;-1598468.75;1710440.5;-4425526
79;-1130413.25;2283021.5;-7361892.5
79.5;-689573.4375;1693514.25;-5304148
80;-775216.25;78450.9296875;2418134
80.5;-1173342.75;-1863514;10300994
81;-1028869.125;-2962595.5;10635917
81.5;163006.125;-2257064;1558270.875
82;1745038.25;114000.625;-9611558
82.5;2402532;2717632.5;-12777635
83;1590907.875;3738188.5;-5251153
83.5;267337.875;2335121;5346361.5
84;-127651.640625;-662881.25;9485674
84.5;596704;-3348874;5990657.5
85;1253834.125;-4040582;897156.625
85.5;925746.5625;-2313148.5;-1954803.25
86;-52146.8359375;800717.875;-3842810
86.5;-882850.8125;3410794.5;-5605196
87;-1367963;3928882;-4653535
87.5;-1774595.875;2130965;473355.03125
88;-2040138.5;-688225.75;5844779.5
88.5;-1798299.875;-2743498;6401519
89;-1111912.125;-3059963;2718687.5
89.5;-382453.5625;-1833918.25;-977890.125
90;432933.5625;123913.9375;-3356198.5
90.5;1684429.25;1901847.25;-5601536
91;2985863.25;2614178;-5997282.5
91.5;3073932.5;1679624.5;-606165.625
92;1326760.875;-496353.25;8695189
92.5;-1012538.5;-2337322.5;12267054
93;-1977436.875;-2235926.5;3861053.75
93.5;-1008759.9375;-115516.53125;-9938039
94;642730.9375;2287761;-15796195
94.5;1406757.5;2822246;-7858159.5
95;845336.9375;797271.125;6502036.5
95.5;-457441.875;-2363530;15577494
96;-1777375.625;-4227344;13976203
96.5;-2485499.25;-3112623;3431538.5
97;-2119208.75;680314.25;-10268760
97.5;-796621.125;4867372;-19047056
98;634412.375;6453864;-15716336
98.5;1218232.75;3730647.5;58279.671875
99;935761.875;-2127401;17703058
99.5;656707.5;-7401340;23101722
100;817815.5;-8372386;12601443
100.5;1102209.75;-4008880;-5290466.5
101;1284501;3303729.5;-19424300
101.5;1438075.5;9171958;-22715910
102;1347963.75;9748990;-13189696
102.5;309083.9375;4174549;6046273.5
103;-1727513.625;-4414944;24417128
103.5;-3159493;-10532360;26905716
104;-2442827.25;-10145874;9163399
104.5;-214275.28125;-3582166.5;-15127139
105;1483868.75;4947443;-27203442
105.5;1392492.375;10286242;-19668112
106;41249.4375;9487382;-689303.9375
106.5;-1193724;3302702.5;15611864
107;-1636530.5;-4525222;20969322
107.5;-1417615.125;-9448796;14823294
108;-654447.25;-8680880;1032035.375
108.5;653442.4375;-2822848.5;-13389496
109;2195511;4484383;-20294630
109.5;3203694.75;8748864;-14788619
110;2881489;7401757;631048.6875
110.5;1147881.25;1476863.75;16180916
111;-1127848;-5055171;21329532
111.5;-2723165;-8009306;12617358
112;-2864256.25;-5694419;-4311404.5
112.5;-1644415.5;180528.5;-18714726
113;100529.625;5747187;-21346964
113.5;1328382.75;7413732;-10152194
114;1406159.375;4110327;8180405
114.5;469544.5625;-1978795.5;21970174
115;-723669.4375;-6812397;21911534
115.5;-1417442.5;-7178673;7783766
116;-1328208.25;-2762943;-11295396
116.5;-571324.1875;3748246;-23447170
117;546426.9375;8315926;-21437488
117.5;1588028.25;7905354;-6585489.5
118;2089003.25;2387619.5;12050865
118.5;1757275.5;-5153927;23511140
119;677314;-10179302;21876216
119.5;-537811.625;-9478576;8379643
120;-1041498;-3124388;-10294740
120.5;-492679.59375;5509159;-24484308
121;523431.875;11541858;-25558640
121.5;831736.9375;11246860;-11029026
122;-349771.25;4351778;12139533
122.5;-2425763;-5371305;29441170
123;-3627805.75;-12126752;27987366
123.5;-2664237.5;-11804164;7664208
124;13079.875;-4651629;-17608214
124.5;2688998;4991880;-30626244
125;3730853.75;11432548;-23104938
125.5;2655147.25;11019982;-990945.6875
126;417104.0625;4332760;19806386
126.5;-1368890.375;-4295230;25439890
127;-1714553.75;-9718680;14361001
127.5;-757882;-9222828;-3706090.5
128;727177.9375;-3811750.5;-16818942
128.5;1927634.75;2885248.5;-18355970
129;2248109.5;6999091;-9164123
129.5;1411775.375;6631187;4472367.5
130;-404381.40625;2694307;14770898
130.5;-2491866;-1968729.5;16233208
131;-3848873;-4507961;8122613
131.5;-3745263.5;-3743942.5;-4968830.5
132;-2207403.5;-650293.8125;-15200918
132.5;-26649.5625;2450350.5;-15866798
133;1737549;3424186.5;-5918477.5
133.5;2445794.25;1687669.5;8470695
134;2228032;-1435983.5;17525194
134.5;1669277.75;-3677679;14957282
135;1196992.625;-3404341.5;2722087.75
135.5;828765.5625;-692389.625;-10775125
136;410624.8125;2774453.5;-16986490
136.5;-60174.8125;4795011;-12797396
137;-381823.1875;3989925;-1801461
137.5;-389702.5;660229.375;8975178
138;-205719.3125;-3358225.5;13965689
138.5;-177871.6875;-5778682;11782896
139;-557863.1875;-5211082;4650446
139.5;-1252676.5;-1899707;-3746725.25
140;-1857791;2517713;-10056334
140.5;-1936476.75;5917823;-12024471
141;-1342685.625;6685714;-8713266
141.5;-325393.625;4399028;-997067.375
142;694981.4375;-3302.75;7846114.5
142.5;1420618.25;-4623857;13167605
143;1732833.5;-7393102;11936523
143.5;1644509.5;-6927036;4752035
144;1312724.5;-3156888.5;-4851523.5
144.5;971451.125;2475341.5;-12343015
145;760891.25;7437953;-14136346
145.5;606808.875;9141452;-9133174
146;244303.375;6240084;754732.875
146.5;-548414.125;-327998.4375;11113751
147;-1599647.375;-7361147;16386693
147.5;-2349128.75;-10934234;12892914
148;-2340804.25;-8761278;2049640.75
148.5;-1566571.875;-1705316.5;-10135863
149;-351113.6875;6600900;-17040540
149.5;853491.25;11674060;-15044956
150;1590309.125;10558710;-5083074.5
150.5;1566075.375;3586173;7752322.5
151;833123.375;-5531838;16702359
151.5;-199651;-11671976;17088226
152;-900815.9375;-11311136;8569379
152.5;-675331.25;-4618836;-5077406.5
153;616202.125;4660611;-17317098
153.5;2328307.5;11275970;-21173594
154;3198374;11361534;-12853460
154.5;2150660.5;4775222;4726488
155;-654115.75;-4562170;21561408
155.5;-3547168.5;-10967318;25862822
156;-4535019;-10642560;13013459
156.5;-2962121.75;-4031482;-9531549
157;-246.6875;4681113;-26809428
157.5;2257469;10226378;-26621556
158;2274092;9408492;-8254608.5
158.5;295752.3125;3036563;15810109
159;-1714325.75;-4676378;28296044
159.5;-1802380.25;-9034664;20805344
160;209542.5;-7859359;161653.546875
160.5;2715908.5;-2462415.5;-18223486
161;3771984;3640607.5;-22370756
161.5;2560071;7057259;-11462330
162;-65688.875;6380332;4862521
162.5;-2280811;2629011.5;14643678
163;-2751914.5;-1781791.75;12808711
163.5;-1588983;-4620713;3620560.75
164;-949.306640625;-4914957;-4715668
164.5;817224.0625;-3077831;-7071291
165;508086.71875;-321505.25;-4076676.25
165.5;-443876.96875;2082143;246069.796875
166;-1276239.75;3330888.5;2482533.25
166.5;-1494899.25;3253051;1904569.5
167;-1042137.75;2163361;-152460.953125
167.5;-150138.40625;576232.5;-1961635.125
168;846845.875;-1061300.25;-2324050.75
168.5;1602959.5;-2449119.5;-657616.375
169;1863445.625;-3298220;2576619
169.5;1633809.125;-3199214.5;5264602
170;1190612.5;-1796530.5;4661092
170.5;810713.5625;761646.5;10954.75
171;496218.625;3530395.5;-6044836
171.5;-7418.375;5052244;-9006049
172;-919533.3125;4183629;-5884285
172.5;-2074946.875;961738;1981587.625
173;-2825189.5;-3100975;9121163
173.5;-2461145;-5743995;10037159
174;-905606.3125;-5383392;4057884
174.5;1038085.6875;-2187978.5;-3990052.5
175;2200789.25;2003540.25;-7967644
175.5;1894297;4857307;-5445329
176;430740.21875;4989576;601625.625
176.5;-1070041.375;2720339;4599708
177;-1486135;-323024.46875;3356340.5
