Time (s);Momen Horizontal (N.m);Momen Vertikal (N.m);Momen Torsional (N.m)
177.5;-521379.71875;-2427706;-1137288.75
178;1104951.75;-2898073.5;-3730627.5
178.5;2268533.75;-2250284.5;-1292646.625
179;2313527.5;-1441942.25;3962434.5
179.5;1394480;-895788.75;6715693.5
180;88600.8125;-277160.625;4017965.75
180.5;-1107119;917034.75;-2149126
181;-1905962.75;2603421.5;-7254332
181.5;-2152651.5;3883280;-8051793
182;-1836304.875;3558486.5;-4347456
182.5;-1185729.5;1097413.25;1801635.125
183;-605715.125;-2652604.5;7658775
183.5;-325368.75;-5662380;10432594
184;-92530.125;-5921551;7719738
184.5;572529.25;-2870751.5;-533834.0625
185;1720500.25;2032290;-10134462
185.5;2679629;6057385;-14269515
186;2532277;6825817;-8671202
186.5;1021367.0625;3826811;3755500
187;-955388.875;-1195827;13814415
187.5;-1961308.125;-5346630;13414018
188;-1316736.75;-6406419;3053505.5
188.5;282260.84375;-4075335.5;-8545222
189;1445172;90662.34375;-12347529
189.5;1295771.875;3761272;-6559900
190;72878.078125;5120583;2818172.75
190.5;-1302725.75;3708419;8151225.5
191;-2115949;523541.1875;6625626
191.5;-2270924;-2529680;1168643
192;-1972974.375;-3662185.5;-3609646
192.5;-1256372.5;-2273791.25;-5352211
193;19449.375;546391.375;-4352674.5
193.5;1733466.75;2600365;-1607994.5
194;3211322;2145765;2246844
194.5;3549580;-596544;6088505.5
195;2351170;-3361952;7590385
195.5;179760.5625;-3542386.5;4520808
196;-1731249.75;-369132.90625;-2821419.25
196.5;-2302442.5;4222700;-10585263
197;-1345327.25;6767315;-13251614
197.5;285775.9375;4742341;-7483482.5
198;1256768.75;-1273146.25;4843819.5
198.5;759281;-7545386;16737583
199;-772039.5625;-9660196;19731898
199.5;-2024010.25;-5754749;9850851
200;-1973506.375;2089740;-8287676
200.5;-680066.875;9205994;-23484024
201;799685;11214478;-24781956
201.5;1183133.25;6708849;-8943785
202;156087.46875;-1713323.5;14960444
202.5;-1007701.6875;-8967756;29430790
203;-673487;-10856790;22798618
203.5;1250666.125;-6749180;393672.375
204;3185473.5;475474.8125;-20619784
204.5;3401441.5;6638669;-25720122
205;1482565;8785018;-13358801
205.5;-1306778.25;6523820;5217499
206;-3046242.5;1637355.75;16176005
206.5;-2792677;-3373608.5;14442890
207;-1193902.125;-6509579;5227060.5
207.5;355660.9375;-6756353;-3353444.25
208;885331.875;-4170327;-6939778.5
208.5;362010.34375;168064.125;-6004416.5
209;-543871.6875;4433017;-3237252
209.5;-1055015;6709297;-766488.5
210;-802379.6875;5885740;794986.3125
210.5;24302.09375;2316680.5;1653068.75
211;882512.625;-2237453;2071862
211.5;1244480.75;-5529580;2386709.25
212;964626.625;-6055441;2754510.25
212.5;431817.3125;-3773832.5;2360360.25
213;251245.15625;58436.46875;-41766.0078125
213.5;646356.25;3619693.5;-4107656.5
214;1192986;5353129;-7119076.5
214.5;1166534;4555549;-5854258
215;212872.84375;1609021.5;263251.78125
215.5;-1225678.5;-2139564;7525677
216;-2214749;-4878751;10292707
216.5;-2176805;-5164584;6065672.5
217;-1372073;-2725263;-2083825.125
217.5;-527657.1875;1278022.25;-8277916
218;-131945.125;4744376;-8555117
218.5;-75092.25;5710315;-3531705.25
219;128423.96875;3492281.5;2606466.25
219.5;739549.5;-765666.625;5927019.5
220;1411806.25;-4634871;5865793.5
220.5;1550060.875;-5828245;4218012
221;1048336.875;-3627577;1787878.25
221.5;436275;651745.125;-2143959.5
222;232165.96875;4459068;-6976889
222.5;328053.9375;5560505;-9181772
223;156999.375;3405778.5;-5092844.5
223.5;-486845.375;-571386;4030324.75
224;-1011565.0625;-3956480;11127808
224.5;-809841.75;-4968570;10160897
225;-234263.9375;-3425473;2640169.25
225.5;-181443.90625;-398294.75;-5058759
226;-896189.6875;2701244.5;-8641498
226.5;-1632653;4691419;-8207333.5
227;-1462781.625;4736722;-5419212.5
227.5;-292406.3125;2483438.5;-532081.4375
228;1030846.25;-1517382;6526868.5
228.5;1701099.5;-5460045;12505209
229;1747558.75;-6937713;11648349
229.5;1609524.375;-4581763;2252359.75
230;1379992.25;692689.5;-9930554
230.5;809011.9375;6032531;-16134294
231;-185968.625;8326288;-11790002
231.5;-1183153.125;6121062;-287212.84375
232;-1513945.125;565840.125;9899661
232.5;-1027761.0625;-5294568;12807178
233;-385064.4375;-8357498;9133732
233.5;-247312.875;-7125767;2672378.5
234;-465936.9375;-2324517;-4172821.25
234.5;-391664.09375;3582324.5;-10025949
235;213063.4375;7610209;-12412527
235.5;766496.25;7692856;-8296454.5
236;445352.3125;3752038.5;2341762.5
236.5;-712979.3125;-2118429;13489710
237;-1513603.625;-6684843;16177770
237.5;-806079.3125;-7455501;7012510.5
238;1174922.5;-4171151;-7484986.5
238.5;2921214.5;1112350.75;-16148108
239;2970671.5;5346654;-12501440
239.5;1176010;6302165;-54938.69140625
240;-1147942.875;3804368.5;10770846
240.5;-2394888.75;-348888.5;11807728
241;-2050347.875;-3670149.5;3864857.25
241.5;-927762.5;-4509113;-5174995
242;-183157.3125;-2870021.5;-8057509
242.5;-204848.859375;-121665.3984375;-4074275
243;-420923.03125;2037496.5;1634052.125
243.5;-97459.8671875;2592723.5;3843780.75
244;778645.125;1628155.25;2004088.25
244.5;1454754.5;35427.9375;-410363.75
245;1206055.5;-1145441.5;-417632.28125
245.5;114459.3125;-1307827;1257004
246;-954308;-511917.75;1490064.75
246.5;-1126012.625;635699.5;-1237354.375
247;-279655.34375;1356708.25;-4685496.5
247.5;888138.8125;1116432.75;-4908472.5
248;1493851.25;-50113.53125;-458970.96875
248.5;1166863.25;-1506261.5;5698565
249;212220.875;-2334473;8619100
249.5;-757313.125;-1859354.5;5592610
250;-1279624.125;-93777.90625;-1733380.75
250.5;-1253117.875;2147404;-8651868
251;-862972.625;3604261.5;-10665367
251.5;-395963.625;3236745;-6241591.5
252;-81680.125;888885.25;2429034
252.5;48886.328125;-2418185;10447814
253;201608.5625;-4868361;12671856
253.5;581380.875;-4879292;7144820.5
254;1095087;-2140864;-3069539
254.5;1379367.375;2080754;-11721180
255;1096658.875;5551128;-13367614
255.5;228929.75;6259302;-6869804
256;-813490;3601244;3590542
256.5;-1430740.125;-1142749.25;11289860
257;-1308638.375;-5419640;11868796
257.5;-614721.5;-6821698;5819447
258;256520.4375;-4511374;-2921867.75
258.5;957290;223987.375;-9617853
259;1234668.625;4668969;-10814103
259.5;907263.4375;6282074;-5755514.5
260;-35241.875;4248607;2967675.25
260.5;-1222190.875;11821.25;10073690
261;-1915884;-3703675;10406532
261.5;-1522957.75;-4745805;3166035.75
262;-176458.34375;-2895384;-6475197
262.5;1297710.75;225725.3125;-11059357
263;2036540.75;2486850.5;-7034363.5
263.5;1799774.375;2708571;2089504.625
264;998696.5;1225497.125;8883932
264.5;106603;-676703.625;8724944
265;-757611;-1720901.75;3031872.25
265.5;-1576920.75;-1306460.75;-3570579.5
266;-2038542.125;293245.625;-7593064
266.5;-1642442.25;2041128;-8096446
267;-280080.75;2600762;-5287708.5
267.5;1318133.375;1101126;832903.875
268;1965894.25;-2015380.5;9083706
268.5;1152419.625;-4780898;14636161
269;-356430.4375;-4831496;11275813
269.5;-1289507.125;-1334913.25;-1720764.25
270;-1045681.875;4004366;-16556921
270.5;-86472.875;7781774;-21842238
271;575742.375;7068406;-11499522
271.5;415948;1660411;8536254
272;26789.5625;-5309121;22968288
272.5;288826.5;-9425906;20636288
273;1072978.75;-8156970;4844125.5
273.5;1437782.625;-2350738.5;-11695858
274;835441.125;4637885;-18763670
274.5;-326191;9047724;-14734572
275;-1157017.75;8682402;-4709878
275.5;-1206064.875;3855781;5371755
276;-900182.25;-2906809.5;12573612
276.5;-856909.5625;-8110540;15165326
277;-931114.625;-8994628;10519716
277.5;-453697.125;-5093466;-1386300.75
278;707840.1875;1392976.25;-14251405
278.5;1750793.875;6832678;-18668576
279;1604861.75;8290260;-9959546
279.5;44007.375;5259353;6366567
280;-1786337.5;-109418.203125;17484336
280.5;-2255547;-4564853;14284371
281;-834252.5;-5934938;196742.59375
281.5;1397243.25;-4232457;-12203803
282;2779292.5;-1137116.75;-12968986
282.5;2470148.25;1452272.75;-3056453
283;944907.625;2577729;7861274.5
283.5;-659461.6875;2413646.5;10816294
284;-1517071.75;1694103;4635033
284.5;-1513969;1018302.75;-4768259.5
285;-1030109;484057.75;-10049325
285.5;-519114.0625;-193204.015625;-7724245.5
286;-234778.9375;-1235159.5;195987.71875
286.5;-212497.53125;-2385924.5;8375027
287;-350755.4375;-2879068.5;11663410
287.5;-436578.1875;-1938472;7661257
288;-231122.5;479515.25;-1936217
288.5;327664.4375;3319213.5;-11630675
289;997930.0625;4856332;-14849261
289.5;1350355.875;3753162.5;-8245435
290;1092559.125;146579.15625;5059881
290.5;376558.75;-4085595;16326748
291;-272979.375;-6326664;17132586
291.5;-429433.375;-4957039;6202212
292;-111252.3203125;-518834.1875;-9343378
292.5;325417.1875;4502322;-19238578
293;490425.5;7103218;-16954364
293.5;190412.25;5538174;-3733429.25
294;-460163.9375;522818.5625;12140643
294.5;-1093319;-5009979;20564306
295;-1339989;-7627569;16164790
295.5;-1073434.5;-5628042;1610531.875
296;-448445.1875;-141488.03125;-14266582
296.5;216565.75;5541303;-21682948
297;616798.75;7929272;-15622951
297.5;679077.625;5482973;512076.875
298;655106.5625;-324663.625;16272856
298.5;842840.25;-5935059;21327180
299;1181026;-8023972;13017458
299.5;1266817.5;-5494549;-2459958.25
300;784500.5625;91315.96875;-15273255
300.5;-144730.875;5602671;-18448540
301;-1014478.5;8074506;-11411515
301.5;-1342631.5;6177161;907664.375
302;-1093595.125;860873.375;11899363
302.5;-652757;-5073579;16571769
303;-380568.375;-8347520;12891060
303.5;-320547.5;-7031422;2468918.75
304;-307123.3125;-1742926.5;-9554018
304.5;-218144.5;4616195;-16578274
305;-124007.375;8457874;-14034066
305.5;-197399.5;7584139;-2725248.75
306;-407300.75;2579175.5;10336285
306.5;-414439.5625;-3522075;16213800
307;73276.875;-7235504;11242383
307.5;972695.375;-6821627;-238078.953125
308;1915479;-3056192.5;-10132282
308.5;2491518.75;1624475;-12694951
309;2371464.25;4731839;-7543141.5
309.5;1385397.125;5018967;1318280.75
310;-321318;2869814;8556553
310.5;-2136088;-206092.1875;10219846
311;-3153350.75;-2524305.5;5370173.5
311.5;-2771935;-3115036;-3159462
312;-1243417.125;-2104004.25;-9749044
312.5;396731;-449724.4375;-9266532
313;1069580.125;773129.25;-1119865.625
313.5;528339.75;1089426.625;9072228
314;-445959.9375;824748.5;12933715
314.5;-829448.875;642001.375;6432492
315;-322388.09375;863939.75;-5929563
315.5;485163.96875;1193250.25;-14289887
316;815978.1875;1002189.25;-11457713
316.5;600039.3125;-40053.5625;475778.9375
317;619867.3125;-1558868;11267307
317.5;1474070.375;-2713953;12250574
318;2541937;-2809120.5;4639805.5
318.5;2497823;-1652976;-3470434
319;807422.75;440469.90625;-6376272
319.5;-1614113.5;2744308;-5035859.5
320;-3217722.25;4240247;-3484170
320.5;-3177925;3966482;-3130334
321;-1997742;1609089.5;-1442099.625
321.5;-816793.125;-2000481.75;3670004.75
322;-181888;-5031924;9248586
322.5;275152.625;-5689437;9417283
323;954248.25;-3461359.5;2437923.5
323.5;1565789.75;527971.3125;-6654073
324;1482297.625;4273149;-10879677
324.5;563319;6052502;-7646033
325;-491264.25;5197138;-632773.875
325.5;-680861.4375;2166331.5;4207777.5
326;254870.09375;-1858707;4731139.5
326.5;1448104.25;-5380758;3798580
327;1784631.75;-6854517;4063132
327.5;1021494;-5247948;3980494.5
328;-180243.0625;-856627.75;589710.8125
328.5;-1064518;4402742;-5684514.5
329;-1386148.125;7796011;-10479376
329.5;-1413944.25;7283652;-9143932
330;-1510552;2837951;-1110195.25
330.5;-1681783.5;-3265587.5;8702568
331;-1563335.5;-7650149;13442586
331.5;-829014.625;-7865670;9786654
332;496158.75;-3868703;60991.2421875
332.5;2017464.75;2011716;-9763626
333;3091552.5;6464078;-13681923
333.5;3079747.75;7108071;-9063794
334;1751398.875;3850504;1517762
334.5;-363417.65625;-1119604.75;11317618
335;-2056034.5;-4760657;13378770
335.5;-2183805;-5129604;5606990
336;-646484.9375;-2536338.5;-6700188
336.5;1336350.625;883309.125;-14015870
337;2065051.125;2781209.5;-9962947
337.5;751804.375;2238101.5;2796045.5
338;-1699064.75;272750.3125;13777691
338.5;-3388230;-1185557.25;13340563
339;-3068133.5;-908688.375;1388225
339.5;-1122898;730814.125;-12372730
340;902980.8125;2151971.5;-16496807
340.5;1654162.875;1835128;-7169457.5
341;1092552.125;-394552;8279609
341.5;396424.625;-3090166.5;17264498
342;627049.75;-4197811;12884037
342.5;1634732.25;-2610703;-672589.25
343;2349169.5;968522.75;-12761084
343.5;1894854;4401889;-15060881
344;387643.125;5457238;-7196422
344.5;-1185400.25;3264813.5;4064584.25
345;-1882400;-1012102.125;10896516
345.5;-1636601;-4813575;10277987
346;-1103849.75;-5798337;4480228.5
346.5;-817155.875;-3348463;-2464067.75
347;-703111.625;1014208.5;-7512818.5
347.5;-393695.875;4569622;-8910339
348;162961.625;5115712;-5751608.5
348.5;526499.25;2409199.5;1365172.75
349;294357.53125;-1628059.75;8938024
349.5;-271437.6875;-4193597;11336152
350;-401514;-3610664.5;5308875
350.5;330530.125;-505106.6875;-5786468
351;1473671.875;2716423;-13429517
351.5;2061289.75;3691938;-10764390
352;1548880.375;1841267.75;795879.625
352.5;378167.5;-1272677.5;11871637
353;-535900.0625;-3290674.5;13429458
353.5;-791799.125;-2874333;4832326
354;-746161.5;-494635.3125;-6587542.5
354.5;-921865.4375;2146595.5;-12433087
355;-1377313.125;3361043;-9578389
355.5;-1643523.5;2481661;-1360825.5
356;-1261400.625;102031.71875;6318018.5
356.5;-332542.5625;-2418514.5;9661547
357;576158.375;-3697947.5;8117308.5
357.5;1011985.5;-3013659;2921507.5
358;983809.75;-640166;-3816073.75
