Time (s);Momen Horizontal (N.m);Momen Vertikal (N.m);Momen Torsional (N.m)
71;-28169190;688406.8125;584631.8125
71.5;-32739596;-124704.75;1167396.25
72;-32430548;-800683.5;1495382.5
72.5;-27633406;-1135460.75;1485403.25
73;-19390192;-1037361.75;1143259
73.5;-9164950;-554042;561070.5
74;1437658;143405.4375;-112190.875
74.5;10947272;813194.875;-713849.9375
75;18242688;1217722.5;-1108899.375
75.5;22672528;1198411.75;-1219240
76;24071016;727360;-1037387.625
76.5;22683172;-79695.375;-624909.625
77;19033562;-993743.3125;-96745.21875
77.5;13778596;-1735826.25;406430.125
78;7581929;-2059056.5;753142.8125
78.5;1037576.5;-1823055;856008.5625
79;-5352419;-1040221.5;696725.4375
79.5;-11157588;119511.75;332320.6875
80;-15981008;1368692;-120671.8828125
80.5;-19432154;2376890.5;-520845.125
81;-21133632;2859782.75;-745085.875
81.5;-20770272;2658910;-726603.375
82;-18171000;1789704;-474732.875
82.5;-13400182;442578;-69832.03125
83;-6826652;-1060983.25;364368.84375
83.5;860334.375;-2350141.5;700402.9375
84;8705468;-3099721;844199.5
84.5;15614425;-3115847.5;757789.8125
85;20533640;-2387981.5;463754.90625
85.5;22648214;-1093629.75;34855.625
86;21553880;445641.125;-424806.6875
86.5;17361828;1848454.25;-802067.5
87;10707952;2769745;-998337.875
87.5;2658160.5;2990145.5;-953534.4375
88;-5474247.5;2470291;-666047.375
88.5;-12362978;1357921.25;-200088.421875
89;-16907136;-53711.421875;326992.0625
89.5;-18424624;-1403823.75;777567.875
90;-16761942;-2357465;1036641.375
90.5;-12301425;-2690260;1048142.625
91;-5869498;-2344656;829403.5
91.5;1429134;-1437856;459459.1875
92;8413050;-225570.5;48482.984375
92.5;14017518;970456.25;-297650.8125
93;17445576;1850431.625;-505533.09375
93.5;18254202;2215282.75;-548701.4375
94;16372542;2014753.125;-448424.46875
94.5;12064160;1352734.5;-263871.1875
95;5855421;449399;-74800.53125
95.5;-1546797.75;-427246.71875;40862.87890625
96;-9331201;-1040148.5;30772
