Time (s);Momen Horizontal (N.m);Momen Vertikal (N.m);Momen Torsional (N.m)
0.0;9488734;-632895.5;-287415.90625
0.5;8898558;-1079618;312612.625
1;6480871;-847334.5;701670.0625
1.5;2552089.5;-48673;688624.4375
2;-2310594.5;1007974.5625;283288.5
2.5;-7390054.5;1919355;-341966.96875
3;-11892459;2339382.5;-934400.3125
3.5;-15008824;2076690.5;-1241132.75
4;-16002262;1132634;-1106657
4.5;-14347422;-309766;-539759.4375
5;-9895129;-1899820.25;298434.0625
5.5;-2996937.5;-3185400.5;1154778.375
6;5460478;-3763850.5;1758894.25
6.5;14150197;-3419851.5;1909375.375
7;21526328;-2171788.5;1541524
7.5;26121192;-271128.5;742178.25
8;26862308;1829259.25;-280395.78125
8.5;23335280;3579476.25;-1252562.25
9;15905788;4503225.5;-1909455.25
9.5;5668542.5;4342200.5;-2072289.25
10;-5752312.5;3136012.5;-1707956.625
10.5;-16515097;1201090.25;-947862.0625
11;-24913118;-975639.9375;-44554.6875
11.5;-29668132;-2861218.25;724152.5625
12;-30111680;-3997696.5;1158165
12.5;-26252276;-4137495;1201886.25
13;-18729384;-3324809.5;949663.75
13.5;-8671828;-1850020.5;584846.5
14;2489065.5;-125317.375;283729.53125
14.5;13211626;1427847;138523.296875
15;22028514;2477687.25;131658.140625
15.5;27712040;2868849;159842.75
16;29412912;2645618.5;91645.78125
16.5;26778256;1992282.5;-163771.09375
17;20041074;1140838.5;-604922.375
17.5;10051710;288734.25;-1125605.5
18;-1778622.5;-446415.5;-1546026
18.5;-13638702;-1026062;-1675108.625
19;-23582132;-1461648.75;-1384380.5
19.5;-29863834;-1775228.75;-669173.4375
20;-31281246;-1957420;329215.6875
20.5;-27442620;-1945244.625;1355439
21;-18893352;-1644916.25;2116779
21.5;-7055175;-992094.75;2376450.25
22;6025983;-7889.75;2031788.625
22.5;18074340;1170389.875;1151539.75
23;27033312;2293615.5;-39800.09375
23.5;31466248;3053245.5;-1224642.25
24;30815272;3177399;-2082969.25
24.5;25460184;2534452;-2386187
25;16575502;1201120.75;-2067405.25
25.5;5835011;-535800.375;-1244361.25
26;-4954254;-2245578.25;-183182.203125
26.5;-14197832;-3472458;789833.4375
27;-20763340;-3868486.5;1399384.5
27.5;-24093568;-3299614.5;1512710.875
28;-24184892;-1893072.5;1174994.25
28.5;-21467520;-8857.75;575827.875
29;-16640276;1860982.75;-36141.5
29.5;-10512784;3233725;-451928.25
30;-3888663;3769765.5;-573377.875
30.5;2503448.25;3364413;-432902.6875
31;8042749;2168407;-161335.375
31.5;12235154;530441.5;77549.140625
32;14737852;-1114074.5;156977.3125
32.5;15394824;-2369140.25;35943.53125
33;14271890;-2982918;-228575.78125
33.5;11670166;-2899767.5;-507270.75
34;8098220;-2245894.25;-651390.75
34.5;4191281.5;-1263375.25;-554087
35;586498.75;-221986.25;-198487.09375
35.5;-2215493;662635.375;325925.375
36;-3962675.25;1278474.25;847286.25
36.5;-4700934;1618544.25;1169795.25
37;-4737648.5;1742025.75;1147130.625
37.5;-4524527;1721506.625;743303.375
38;-4494428.5;1593117.125;55712.73828125
38.5;-4903162;1339476;-710755.3125
39;-5728144.5;913891.25;-1310289.625
39.5;-6661701;277638.75;-1540542.375
40;-7205199;-545979.5;-1315147.625
40.5;-6835383;-1444923.25;-697047.375
41;-5191632;-2225443;120769.859375
41.5;-2224490;-2663017.5;880236.375
42;1745955.5;-2576198.75;1345574.875
42.5;6082069;-1900610;1382043.375
43;9977500;-732809.5;998398.625
43.5;12658543;674532.5;339627.15625
44;13577727;1972604.375;-365534.78125
44.5;12541796;2817857;-882244.5
45;9739986;2975688.75;-1048331.125
45.5;5670190;2400203.25;-828551
46;993995.25;1255304;-325776.40625
46.5;-3628870.75;-130686.25;256030.96875
47;-7673731.5;-1364405.75;686116
47.5;-10814834;-2108143.25;792645.625
48;-12911368;-2182338.5;528036.625
48.5;-13935799;-1618378.75;-11703.3125
49;-13885204;-642030.625;-621864.9375
49.5;-12720324;400592.5;-1064958.25
50;-10362042;1162674;-1159109.25
50.5;-6751576;1408762.5;-846013.25
51;-1950928.75;1086654;-213580.21875
51.5;3758105.5;338832.75;535068.25
52;9822716;-550919.25;1153842.125
52.5;15448694;-1256205.5;1439629.25
53;19718524;-1520518.25;1300546.875
53.5;21775104;-1242808.5;783460.8125
54;21024606;-507810;53815.625
54.5;17300932;446747.5;-661974.125
55;10942989;1315927.125;-1150901.5
55.5;2760739;1829369.5;-1281124.625
56;-6103540;1838814.25;-1042166.5625
56.5;-14381750;1360264.75;-544420
57;-20902292;557978.5;23029.25
57.5;-24775622;-320313.15625;463234.0625
58;-25508536;-1030020.5;645643.3125
58.5;-23035730;-1407243.75;553466
59;-17682846;-1412028.125;283895.3125
59.5;-10088622;-1125466.25;896.5625
60;-1116342.875;-702425.125;-138899.078125
60.5;8227471;-301773.5625;-55733.578125
61;16865046;-23057.5625;217510.53125
61.5;23723034;124908;547470.75
62;27829192;212404.5625;754135.9375
62.5;28438644;340472.25;685092.75
