Time (s);Momen Horizontal (N.m);Momen Vertikal (N.m);Momen Torsional (N.m)
0.0;-11109.7333984375;63303840;-17545.2421875
0.5;-10640.3408203125;52725736;-27460.880859375
1;-5253.5439453125;25491172;-32141.5703125
1.5;2497.26611328125;-9236318;-21381.546875
2;10206.8974609375;-41659040;-1022.119140625
2.5;15887.2265625;-63484832;16139.548828125
3;17798.783203125;-70062576;23554.287109375
3.5;15031.5078125;-60839304;23935.4453125
4;8127.34765625;-38768360;22431.189453125
4.5;-1210.42700195313;-9247888;19722.29296875
5;-10852.833984375;21065272;12901.8603515625
5.5;-18931.279296875;45857328;1742.732421875
6;-23870.55078125;60803032;-9782.7890625
6.5;-24399.072265625;64204696;-17191.96875
7;-20243.81640625;56713808;-17642.40625
7.5;-12444.806640625;40921872;-11611.3427734375
8;-2538.24853515625;20776300;-4305.84033203125
8.5;8050.4365234375;583687;-847.39599609375
9;17650.923828125;-16018196;64.8306884765625
9.5;24278.787109375;-26764916;3090.625
10;26608.3671875;-31035516;8336.162109375
10.5;24694.263671875;-29591616;10753.94140625
11;19443.150390625;-24058668;6774.1015625
11.5;11740.625;-16512444;-658.800903320313
12;2395.6884765625;-8970067;-4739.8203125
12.5;-7290.35302734375;-2725848.5;-2785.2548828125
13;-15636.158203125;1855049;895.921875
13.5;-21386.455078125;4932073;1592.15771484375
14;-24115.51171875;6840799;-30.17822265625
14.5;-23824.859375;8015172;-673.936767578125
15;-20624.34765625;8778120;683.052001953125
15.5;-14865.5673828125;9049728;2276.59228515625
16;-7265.44970703125;8383822;1800.29467773438
16.5;1238.88317871094;6292501;-1276.32165527344
17;9682.619140625;2536940;-4936.91943359375
17.5;17110.447265625;-2726403.5;-6647.9228515625
18;22613.5390625;-8914210;-5844.626953125
18.5;25418.103515625;-15062596;-3711.11328125
19;25046.65625;-19928620;-1375.60009765625
19.5;21385.298828125;-22224080;1023.294921875
20;14670.57421875;-21006444;4004.27685546875
20.5;5525.453125;-16019046;7533.736328125
21;-4970.646484375;-7783761;10122.4755859375
21.5;-15319.408203125;2485275;9869.1005859375
22;-23932.265625;13057046;6532.99169921875
22.5;-29463.28125;22007304;1843.43286132813
23;-30956.4609375;27672556;-2256.23583984375
23.5;-27929.775390625;29047960;-4995.8046875
24;-20538.138671875;25990480;-6448.21484375
24.5;-9715.7587890625;19229404;-6636.818359375
25;2940.50756835938;10199757;-5408.74609375
25.5;15459.84375;717373.25;-2860.00439453125
26;25868.93359375;-7427678;435.190612792969
26.5;32488.234375;-12848636;3596.978515625
27;34212.109375;-14833202;5855.564453125
27.5;30720.5390625;-13443766;6819.13427734375
28;22537.8984375;-9426836;6344.5830078125
28.5;10959.4140625;-3985851;4459.6083984375
29;-2190.67431640625;1515031;1584.55590820313
29.5;-14863.708984375;5862020;-1514.451171875
30;-25111.330078125;8240521;-4100.7177734375
30.5;-31425.0859375;8342958;-5628.443359375
31;-32946.71875;6344678;-5840.88916015625
31.5;-29585.6953125;2784488.5;-4933.1083984375
32;-21989.3125;-1624659;-3394.95288085938
32.5;-11407.513671875;-6191552;-1689.21520996094
33;546.406921386719;-10372152;-231.901245117188
33.5;12137.46484375;-13813536;663.268798828125
34;21759.095703125;-16335212;1012.12841796875
34.5;28141.62109375;-17843668;1065.0908203125
35;30515.6484375;-18224574;1075.42431640625
35.5;28662.07421875;-17293634;1326.08056640625
36;22888.20703125;-14815536;2058.986328125
36.5;13998.58984375;-10571834;3222.97094726563
37;3171.06127929688;-4486719;4505.52978515625
37.5;-8187.4228515625;3222584.5;5543.4951171875
38;-18610.71484375;11956848;5976.49560546875
38.5;-26721.947265625;20743748;5515.6328125
39;-31392.802734375;28339644;4102.23046875
39.5;-31909.12890625;33431296;1921.474609375
40;-28043.47265625;34912056;-690.87646484375
40.5;-20133.326171875;32148116;-3297.5888671875
41;-9086.3359375;25166952;-5426.14453125
41.5;3714.6083984375;14728028;-6668.1806640625
42;16531.7421875;2237907.75;-6737.7724609375
