Time (s);Momen Horizontal (N.m);Momen Vertikal (N.m);Momen Torsional (N.m)
0.0;-936.3857421875;3069342.5;-18162.576171875
0.5;725.51318359375;5662265;-18824.166015625
1;-694.998901367188;-7708132;-22311.09375
1.5;-2295.57958984375;-10116984;22761.576171875
2;-326.218963623047;-2501401;7098.68310546875
2.5;312.183685302734;4658100;6800.31201171875
3;1108.27734375;10072500;-8093.22119140625
3.5;735.493041992188;7559240;-33191.11328125
4;-584.665344238281;-1101080;-29090.599609375
4.5;-831.771240234375;-3744628;33909.50390625
5;2077.70581054688;-3917756;12070.9248046875
5.5;771.310791015625;-6089208;-17846.228515625
6;1024.20434570313;5413375;-16087.1142578125
6.5;2366.75122070313;4575270;-28773.69140625
7;-41.7624816894531;-5306685;609.908813476563
7.5;-4660.60986328125;-9934798;32634.3515625
8;-3511.24853515625;2564855.5;17271.994140625
8.5;1795.86315917969;9880726;-42705.65234375
9;5986.77294921875;8682460;-31817.30859375
9.5;5150.1259765625;-1966771.5;6025.18505859375
10;-1838.94116210938;-6189615;55693.7734375
10.5;-7085.59228515625;-8113532;12413.5888671875
11;-5316.390625;-5494055;-18619.4140625
11.5;3739.99926757813;9311502;-26207.626953125
12;6367.76025390625;13489764;-12638.275390625
12.5;283.759368896484;927591.375;15870.1552734375
13;-7296.76416015625;-16020264;27601.11328125
13.5;-6349.12158203125;-11111044;1860.42993164063
14;542.023803710938;3970355;-31033.623046875
14.5;6782.42138671875;15505510;-19390.560546875
15;4432.6123046875;5710673;-10126.064453125
15.5;-3382.9296875;-3241333;36606.015625
16;-6895.64404296875;-10338300;494.452270507813
16.5;-4923.6552734375;-12724502;-32158.59375
17;3455.38623046875;2289310;-23350.849609375
17.5;8061.505859375;14426466;-6321.462890625
18;3132.41284179688;7390148;-12836.3408203125
18.5;-4431.34765625;-3141023;8765.8876953125
19;-1239.01647949219;-958566.625;1674.08178710938
19.5;4602.857421875;-7549401;-35593.62109375
20;7316.859375;-4618160;-3235.048828125
20.5;5923.353515625;7030390;2879.93310546875
21;541.4912109375;14501562;8614.5859375
